Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Asia,Singapore,2014,Holiday,433705000,175260,8.1
Asia,Singapore,2014,Visiting friends and relatives,160459000,60517,14.8
Asia,Singapore,2014,Business,185203000,57319,8.2
Asia,Singapore,2014,Education,287576000,14488,114.1
Asia,Singapore,2014,Employment,0,0,0
Asia,Singapore,2014,Otherreason,18121000,8494,4.9
Asia,Singapore,2014,Backpackers,42201000,11188,25.7
Asia,Singapore,2014,Nonbackpackers,1110761000,314046,15.4
Asia,China,2014,Holiday,1894084000,418737,9.4
Asia,China,2014,Visiting friends and relatives,677192000,159512,58.9
Asia,China,2014,Business,321288000,63462,15.9
Asia,China,2014,Education,2447342000,100255,160.8
Asia,China,2014,Employment,263580000,20205,128.9
Asia,China,2014,Otherreason,108706000,22117,24.2
Asia,China,2014,Backpackers,110756000,18382,39.1
Asia,China,2014,Nonbackpackers,5601437000,765905,42.9
Americas,United States,2014,Holiday,1154904000,218798,15.9
Americas,United States,2014,Visiting friends and relatives,457778000,126415,24
Americas,United States,2014,Business,712896000,116798,14
Americas,United States,2014,Education,215756000,20050,79.7
Americas,United States,2014,Employment,156190000,19561,90.3
Americas,United States,2014,Otherreason,92727000,20926,8.1
Americas,United States,2014,Backpackers,255760000,43038,51.1
Americas,United States,2014,Nonbackpackers,2534491000,479510,19.8
Europe,United Kingdom,2014,Holiday,1461787000,227617,46.2
Europe,United Kingdom,2014,Visiting friends and relatives,991898000,267760,26.5
Europe,United Kingdom,2014,Business,347645000,59577,24.1
Europe,United Kingdom,2014,Education,106762000,9190,108.5
Europe,United Kingdom,2014,Employment,402132000,35148,132.4
